ID,Type,X (m),Y (m),Z (m),Theta (rad)
0,short,409.36,62.33,0.00,0.020
1,short,409.49,58.89,0.00,0.694
2,long,409.67,61.35,0.00,1.142
3,short,408.88,63.58,0.00,1.256
4,short,407.86,62.07,0.00,0.467
5,short,407.77,59.61,0.00,1.461
6,long,408.21,64.94,0.00,1.563
7,short,406.36,63.79,0.00,0.762
8,long,406.72,58.19,0.00,0.822
9,long,405.67,61.71,0.00,0.320
10,long,406.31,60.27,0.00,1.341
