ID,Type,X (m),Y (m),Z (m),Theta (rad)
0,short,410.47,60.40,0.00,0.340
1,short,409.80,58.50,0.00,1.033
2,long,409.95,65.43,0.00,1.328
3,long,409.36,63.66,0.00,0.696
4,short,408.55,60.35,0.00,0.698
5,short,407.86,57.19,0.00,1.085
6,long,407.78,59.22,0.00,0.731
7,short,406.72,63.32,0.00,0.385
8,long,407.09,65.33,0.00,0.741
9,short,405.68,58.97,0.00,1.330
