ID,Type,X (m),Y (m),Z (m),Theta (rad)
0,long,409.60,62.30,0.00,0.152
1,short,409.14,60.10,0.00,1.407
2,short,408.67,63.76,0.00,1.009
3,long,408.11,58.61,0.00,0.018
4,short,408.09,64.68,0.00,0.551
5,long,407.81,61.37,0.00,1.040
6,long,407.58,62.84,0.00,1.341
7,short,406.77,58.55,0.00,1.199
8,short,406.26,61.65,0.00,0.787
9,short,406.14,59.94,0.00,1.452
10,long,406.32,63.94,0.00,0.903
