ID,Type,X (m),Y (m),Z (m),Theta (rad)
0,short,410.34,65.50,0.00,0.353
1,short,409.85,63.63,0.00,0.529
2,short,409.49,61.99,0.00,0.202
3,long,410.09,60.55,0.00,1.110
4,long,408.95,58.12,0.00,0.783
5,short,407.68,63.94,0.00,0.122
6,long,407.73,60.58,0.00,0.195
7,short,407.14,61.91,0.00,0.129
8,long,406.62,65.81,0.00,1.254
9,short,405.55,57.86,0.00,0.200
10,long,405.72,64.07,0.00,1.310
