ID,Type,X (m),Y (m),Z (m),Theta (rad)
0,short,410.03,61.02,0.00,1.027
1,short,409.26,60.24,0.00,0.088
2,long,409.70,65.66,0.00,0.824
3,short,408.52,60.01,0.00,0.183
4,short,408.73,62.86,0.00,0.666
5,long,408.13,61.94,0.00,0.518
6,short,407.83,65.17,0.00,0.449
7,long,407.08,62.40,0.00,0.295
8,long,406.36,65.79,0.00,0.816
9,short,405.95,61.58,0.00,1.283
10,long,406.01,59.71,0.00,0.993
