ID,Type,X (m),Y (m),Z (m),Theta (rad)
0,short,410.17,58.12,0.00,0.312
1,short,409.68,62.55,0.00,0.057
2,long,409.70,60.87,0.00,1.567
3,short,408.72,58.09,0.00,0.587
4,long,408.36,64.96,0.00,0.059
5,short,408.40,59.94,0.00,0.343
6,short,407.77,61.28,0.00,0.375
7,long,406.54,59.07,0.00,0.613
8,long,406.14,63.35,0.00,0.989
9,long,405.91,61.51,0.00,0.960
