ID,Type,X (m),Y (m),Z (m),Theta (rad)
0,short,409.26,63.58,0.00,0.772
1,short,408.36,61.87,0.00,0.057
2,long,408.93,59.91,0.00,1.243
3,short,408.14,57.58,0.00,0.170
4,short,407.58,60.07,0.00,0.223
5,long,408.01,64.66,0.00,0.653
6,short,406.14,60.42,0.00,0.906
7,long,406.59,65.82,0.00,1.098
8,long,405.73,59.33,0.00,1.512
