ID,Type,X (m),Y (m),Z (m),Theta (rad)
0,short,409.24,64.81,0.00,0.926
1,short,408.93,61.73,0.00,0.133
2,long,409.08,58.29,0.00,1.260
3,short,408.06,60.97,0.00,0.092
4,short,407.73,58.45,0.00,0.239
5,short,407.21,63.94,0.00,0.352
6,long,406.45,61.30,0.00,0.395
7,long,405.93,65.04,0.00,0.037
